well_id,site_name,program_number,latitude,longitude,coord_precision,well_role,data_type,n_chemicals_tested,n_chemicals_found,chemicals_found,first_year_tested,latest_year_tested,latest_year_detected,years_sampled,possible_source,data_source,toc_latest_ugL,toc_max_ugL,toc_program
PCBM-01,102nd Street Landfill (Hooker/Olin),932022,43.071721,-78.947382,georeferenced_from_Fig1.2_~0.1mi,monitoring well,per-chemical groundwater results,20,7,2-Chlorotoluene; Arsenic; Chlorobenzene; alpha-BHC; beta-BHC; delta-BHC; gamma-BHC (lindane),2002,2019,2011,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
PCBM-02,102nd Street Landfill (Hooker/Olin),932022,43.072123,-78.942938,georeferenced_from_Fig1.2_~0.1mi,monitoring well,per-chemical groundwater results,20,5,"1,2,4-Trichlorobenzene; 2-Chlorotoluene; Arsenic; Chlorobenzene; beta-BHC",2002,2019,2016,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
PCBM-03,102nd Street Landfill (Hooker/Olin),932022,43.073754,-78.946485,georeferenced_from_Fig1.2_~0.1mi,monitoring well,per-chemical groundwater results,20,8,2-Chlorophenol; 2-Chlorotoluene; Arsenic; Phenol; alpha-BHC; beta-BHC; delta-BHC; gamma-BHC (lindane),2002,2019,2019,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
PCM-01,102nd Street Landfill (Hooker/Olin),932022,43.073165,-78.94944,georeferenced_from_Fig1.2_~0.1mi,monitoring well,per-chemical groundwater results,20,9,"1,4-Dichlorobenzene; 2-Chlorotoluene; Arsenic; Benzene; Mercury; alpha-BHC; beta-BHC; delta-BHC; gamma-BHC (lindane)",2002,2019,2011,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
PCM-02,102nd Street Landfill (Hooker/Olin),932022,43.072152,-78.948817,georeferenced_from_Fig1.2_~0.1mi,monitoring well,per-chemical groundwater results,20,9,"1,4-Dichlorobenzene; 2-Chlorotoluene; Arsenic; Benzene; Chlorobenzene; alpha-BHC; beta-BHC; delta-BHC; gamma-BHC (lindane)",2002,2019,2016,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
PCM-03,102nd Street Landfill (Hooker/Olin),932022,43.071728,-78.947131,georeferenced_from_Fig1.2_~0.1mi,monitoring well,per-chemical groundwater results,20,17,"1,2,3-Trichlorobenzene; 1,2,4-Trichlorobenzene; 1,2-Dichlorobenzene; 1,4-Dichlorobenzene; 2,4-Dichlorophenol; 2,5-Dichlorophenol; 2-Chlorophenol; 2-Chlorotoluene; 4-Chlorophenol; Arsenic; Benzene; Chlorobenzene; Mercury; Phenol; alpha-BHC; beta-BHC; delta-BHC",2002,2019,2019,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
PCM-04,102nd Street Landfill (Hooker/Olin),932022,43.072128,-78.945415,georeferenced_from_Fig1.2_~0.1mi,monitoring well,per-chemical groundwater results,20,15,"1,2-Dichlorobenzene; 1,4-Dichlorobenzene; 2,4-Dichlorophenol; 2,5-Dichlorophenol; 2-Chlorophenol; 2-Chlorotoluene; 4-Chlorophenol; Arsenic; Benzene; Chlorobenzene; Mercury; Phenol; alpha-BHC; beta-BHC; delta-BHC",2002,2019,2019,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
PCM-05,102nd Street Landfill (Hooker/Olin),932022,43.072164,-78.942977,georeferenced_from_Fig1.2_~0.1mi,monitoring well,per-chemical groundwater results,20,10,"1,4-Dichlorobenzene; 2-Chlorophenol; 2-Chlorotoluene; 4-Chlorophenol; Arsenic; Benzene; Chlorobenzene; alpha-BHC; delta-BHC; gamma-BHC (lindane)",2002,2019,2019,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
PCM-06,102nd Street Landfill (Hooker/Olin),932022,43.073284,-78.943969,georeferenced_replacement_of_PCM-06R,monitoring well,per-chemical groundwater results,20,1,Arsenic,2002,2019,2018,2002;2003;2004;2005;2006;2010;2012;2013;2014;2015;2016;2018;2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
PCM-06R,102nd Street Landfill (Hooker/Olin),932022,43.073284,-78.943969,georeferenced_from_Fig1.2_~0.1mi,monitoring well,per-chemical groundwater results,9,0,,2019,2019,,2019,102nd Street Landfill (Hooker/Olin) (well monitors NYSDEC site 932022),NYSDEC periodic review reports (Glenn Springs); see docs/,,,
