well,chem,lag_yr,r_levels,n_levels,sig_levels,r_changes,n_changes,sig_changes
PCM-03,Chlorobenzene,0,0.06,17,,-0.09,15,
PCM-03,Chlorobenzene,1,0.0,17,,-0.02,15,
PCM-03,Chlorobenzene,2,-0.13,17,,-0.01,15,
PCM-03,Chlorobenzene,3,-0.01,16,,-0.24,14,
PCM-04,Chlorobenzene,0,0.07,17,,0.02,15,
PCM-04,Chlorobenzene,1,0.24,17,,-0.22,15,
PCM-04,Chlorobenzene,2,0.27,17,,0.49,15,
PCM-04,Chlorobenzene,3,-0.12,16,,-0.5,14,
PCM-05,Chlorobenzene,0,0.2,18,,0.24,17,
PCM-05,Chlorobenzene,1,-0.0,18,,-0.02,17,
PCM-05,Chlorobenzene,2,-0.19,18,,-0.32,17,
PCM-05,Chlorobenzene,3,0.28,17,,0.15,16,
PCM-03,Benzene,0,-0.02,17,,0.04,15,
PCM-03,Benzene,1,-0.07,17,,0.03,15,
PCM-03,Benzene,2,-0.29,17,,-0.36,15,
PCM-03,Benzene,3,0.04,16,,0.11,14,
PCM-04,Benzene,0,-0.23,11,,-0.36,6,
PCM-04,Benzene,1,0.1,11,,0.06,6,
PCM-04,Benzene,2,-0.09,11,,-0.5,6,
PCM-04,Benzene,3,-0.08,10,,0.16,5,
PCM-03,Lindane / BHC,0,0.1,17,,0.2,15,
PCM-03,Lindane / BHC,1,-0.34,17,,-0.51,15,yes
PCM-03,Lindane / BHC,2,-0.05,17,,0.11,15,
PCM-03,Lindane / BHC,3,0.11,16,,0.02,14,
