year,precip_in,PCM-03:Chlorobenzene,PCM-04:Chlorobenzene,PCM-05:Chlorobenzene,PCM-03:Benzene,PCM-04:Benzene,PCM-03:Lindane / BHC
2002,31.05,3810.0,6290.0,96.8,133.0,228.0,0.679
2003,32.03,3860.0,7010.0,76.2,141.0,225.0,3.75
2004,36.33,3010.0,7220.0,94.9,99.8,195.0,0.933
2005,35.99,4100.0,8600.0,120.0,73.0,140.0,0.44
2006,38.66,2700.0,10000.0,91.0,47.0,69.0,0.73
2007,24.02,4000.0,11000.0,100.0,70.0,110.0,0.75
2008,36.45,4300.0,12000.0,110.0,73.0,,5.6
2009,37.85,4900.0,10000.0,190.0,84.0,41.0,2.0
2010,34.54,5000.0,12000.0,130.0,76.0,,1.0
2011,40.26,3400.0,8400.0,87.0,62.0,,0.075
2012,31.87,3200.0,7000.0,80.0,44.0,,0.91
2013,40.0,4600.0,10000.0,150.0,58.0,33.0,0.86
2014,35.12,3700.0,9500.0,130.0,64.0,,0.79
2015,24.99,3700.0,8500.0,110.0,49.0,,0.76
2016,23.33,3500.0,7700.0,110.0,34.0,27.0,0.068
2017,41.36,3700.0,6700.0,110.0,44.0,22.0,0.62
2018,34.93,,,83.0,,,
2019,35.81,3300.0,8000.0,77.0,36.0,27.0,1.1
