year,precip_in,annual_net_gal,avg_gpm,peak_month,peak_gpm,max_days
2000,36.33,3426421,6.5,April,19.0,23.0
2001,29.56,3049688,5.8,February,17.1,21.0
2002,31.05,3962039,7.5,April,21.9,21.0
2003,32.03,3493743,6.6,March,27.3,17.0
2004,36.33,4284392,8.2,March,32.6,21.0
2005,35.99,4663029,8.9,April,38.2,17.0
2006,38.66,4611846,8.8,January,35.5,18.0
2007,24.02,3325705,6.3,January,33.7,20.0
2008,36.45,4082877,7.8,April,33.2,18.0
2009,37.85,3446763,6.6,February,26.0,18.0
2010,34.54,3139680,6.0,April,21.6,18.0
2011,40.26,5086525,9.7,April,41.2,21.0
2012,31.87,3697129,7.0,February,27.5,20.0
2013,40.0,4589574,8.7,January,22.2,23.0
2014,35.12,3287774,6.3,April,26.7,21.0
2015,24.99,2774642,5.3,April,22.9,20.0
2016,23.33,2915857,5.5,February,22.7,21.0
2017,41.36,5769573,11.0,April,30.1,25.0
2018,34.93,4018772,7.6,November,20.5,28.0
2019,35.81,4392740,8.4,May,20.9,26.0
2020,24.46,,,,,
2021,21.26,,,,,
