well,chem,year,value_ugL,detect
10105,"1,1,2,2-Tetrachloroethane",2007,10.0,nondetect
10105,"1,2,4-Trichlorobenzene",2007,10.0,nondetect
10105,"1,2-Dichlorobenzene",2007,10.0,nondetect
10105,"1,2-Dichloroethane",2015,5.0,nondetect
10105,"1,2-Dichloroethane",2017,5.0,nondetect
10105,"1,2-Dichloroethane",2019,5.0,nondetect
10105,"1,4-Dichlorobenzene",2007,10.0,nondetect
10105,Benzene,2007,10.0,nondetect
10105,Benzene,2011,5.0,nondetect
10105,Benzene,2015,5.0,nondetect
10105,Benzene,2017,5.0,nondetect
10105,Benzene,2019,5.0,nondetect
10105,Benzo(a)pyrene,2015,1.9,nondetect
10105,Benzo(a)pyrene,2017,9.4,nondetect
10105,Benzo(a)pyrene,2019,9.4,nondetect
10105,Chlorobenzene,2007,10.0,nondetect
10105,Chlorobenzene,2011,5.0,nondetect
10105,Chlorobenzene,2015,5.0,nondetect
10105,Chlorobenzene,2017,5.0,nondetect
10105,Chlorobenzene,2019,5.0,nondetect
10105,Chloroform / THMs,2015,5.0,nondetect
10105,Chloroform / THMs,2017,5.0,nondetect
10105,Chloroform / THMs,2019,5.0,nondetect
10105,DDT / DDE / DDD,2015,0.05,nondetect
10105,DDT / DDE / DDD,2017,0.047,nondetect
10105,DDT / DDE / DDD,2019,0.047,nondetect
10105,Dieldrin,2015,0.05,nondetect
10105,Dieldrin,2017,0.047,nondetect
10105,Dieldrin,2019,0.047,nondetect
10105,Dioxins / furans,2015,9.3,nondetect
10105,Dioxins / furans,2017,9.4,nondetect
10105,Dioxins / furans,2019,9.4,nondetect
10105,Ethylbenzene,2007,10.0,nondetect
10105,Ethylbenzene,2011,5.0,nondetect
10105,Ethylbenzene,2015,5.0,nondetect
10105,Ethylbenzene,2017,5.0,nondetect
10105,Ethylbenzene,2019,5.0,nondetect
10105,Lindane / BHC,2015,0.05,nondetect
10105,Lindane / BHC,2017,0.047,nondetect
10105,Lindane / BHC,2019,0.047,nondetect
10105,Naphthalene,2015,1.9,nondetect
10105,Naphthalene,2017,9.4,nondetect
10105,Naphthalene,2019,9.4,nondetect
10105,PCBs,2015,0.4,nondetect
10105,PCBs,2017,0.94,nondetect
10105,PCBs,2019,0.94,nondetect
10105,Tetrachloroethene (PCE),2007,10.0,nondetect
10105,Tetrachloroethene (PCE),2011,5.0,nondetect
10105,Tetrachloroethene (PCE),2015,5.0,nondetect
10105,Tetrachloroethene (PCE),2017,5.0,nondetect
10105,Tetrachloroethene (PCE),2019,5.0,nondetect
10105,Toluene,2007,10.0,nondetect
10105,Toluene,2011,5.0,nondetect
10105,Toluene,2015,5.0,nondetect
10105,Toluene,2017,5.0,nondetect
10105,Toluene,2019,5.0,nondetect
10105,Trichloroethene (TCE),2007,10.0,nondetect
10105,Trichloroethene (TCE),2011,5.0,nondetect
10105,Trichloroethene (TCE),2015,5.0,nondetect
10105,Trichloroethene (TCE),2017,5.0,nondetect
10105,Trichloroethene (TCE),2019,5.0,nondetect
10105,Vinyl chloride,2011,5.0,nondetect
10105,Vinyl chloride,2015,5.0,nondetect
10105,Vinyl chloride,2017,5.0,nondetect
10105,Vinyl chloride,2019,5.0,nondetect
10105,Xylene,2007,10.0,nondetect
10105,Xylene,2011,15.0,nondetect
10105,Xylene,2015,10.0,nondetect
10105,Xylene,2017,5.0,nondetect
10105,Xylene,2019,5.0,nondetect
10113,"1,1,2,2-Tetrachloroethane",2001,10.0,nondetect
10113,"1,2,4-Trichlorobenzene",2001,10.0,nondetect
10113,"1,2-Dichlorobenzene",2001,10.0,nondetect
10113,"1,4-Dichlorobenzene",2001,10.0,nondetect
10113,Benzene,2001,10.0,nondetect
10113,Chlorobenzene,2001,10.0,nondetect
10113,Ethylbenzene,2001,10.0,nondetect
10113,Tetrachloroethene (PCE),2001,10.0,nondetect
10113,Toluene,2001,10.0,nondetect
10113,Trichloroethene (TCE),2001,10.0,nondetect
10113,Vinyl chloride,2001,10.0,nondetect
10135,"1,1,2,2-Tetrachloroethane",2000,27.0,detect
10135,"1,1,2,2-Tetrachloroethane",2001,100.0,detect
10135,"1,1,2,2-Tetrachloroethane",2002,56.0,detect
10135,"1,1,2,2-Tetrachloroethane",2003,38.0,detect
10135,"1,1,2,2-Tetrachloroethane",2007,16.0,detect
10135,"1,1,2,2-Tetrachloroethane",2018,500.0,nondetect
10135,"1,2,4-Trichlorobenzene",2000,45.0,detect
10135,"1,2,4-Trichlorobenzene",2001,42.0,detect
10135,"1,2,4-Trichlorobenzene",2002,2000.0,nondetect
10135,"1,2,4-Trichlorobenzene",2003,97.0,detect
10135,"1,2,4-Trichlorobenzene",2005,67.0,detect
10135,"1,2,4-Trichlorobenzene",2006,63.0,detect
10135,"1,2,4-Trichlorobenzene",2007,47.0,detect
10135,"1,2,4-Trichlorobenzene",2018,470.0,nondetect
10135,"1,2-Dichlorobenzene",2000,22.0,detect
10135,"1,2-Dichlorobenzene",2001,48.0,detect
