well,chem,year,value_ugL,detect
7115,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
7125,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
7130,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
7132,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
8106,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
8115,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
8125,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
9105,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
7115,Benzene,2018,5.0,nondetect
7125,Benzene,2018,5.0,nondetect
7130,Benzene,2018,5.0,nondetect
7132,Benzene,2018,5.0,nondetect
8106,Benzene,2018,5.0,nondetect
8115,Benzene,2018,5.0,nondetect
8125,Benzene,2018,5.0,nondetect
9105,Benzene,2018,5.0,nondetect
7115,Chlorobenzene,2018,5.0,nondetect
7125,Chlorobenzene,2018,5.0,nondetect
7130,Chlorobenzene,2018,5.0,nondetect
7132,Chlorobenzene,2018,5.0,nondetect
8106,Chlorobenzene,2018,5.0,nondetect
8115,Chlorobenzene,2018,5.0,nondetect
8125,Chlorobenzene,2018,5.0,nondetect
9105,Chlorobenzene,2018,5.0,nondetect
7115,Ethylbenzene,2018,5.0,nondetect
7125,Ethylbenzene,2018,5.0,nondetect
7130,Ethylbenzene,2018,5.0,nondetect
7132,Ethylbenzene,2018,5.0,nondetect
8106,Ethylbenzene,2018,5.0,nondetect
8115,Ethylbenzene,2018,5.0,nondetect
8125,Ethylbenzene,2018,5.0,nondetect
9105,Ethylbenzene,2018,5.0,nondetect
7115,Tetrachloroethene (PCE),2018,5.0,nondetect
7125,Tetrachloroethene (PCE),2018,5.0,nondetect
7130,Tetrachloroethene (PCE),2018,5.0,nondetect
7132,Tetrachloroethene (PCE),2018,5.0,nondetect
8106,Tetrachloroethene (PCE),2018,5.0,nondetect
8115,Tetrachloroethene (PCE),2018,5.0,nondetect
8125,Tetrachloroethene (PCE),2018,5.0,nondetect
9105,Tetrachloroethene (PCE),2018,5.0,nondetect
7115,Toluene,2018,0.21,detect
7125,Toluene,2018,5.0,nondetect
7130,Toluene,2018,5.0,nondetect
7132,Toluene,2018,5.0,nondetect
8106,Toluene,2018,5.0,nondetect
8115,Toluene,2018,5.0,nondetect
8125,Toluene,2018,5.0,nondetect
9105,Toluene,2018,5.0,nondetect
7115,Trichloroethene (TCE),2018,5.0,nondetect
7125,Trichloroethene (TCE),2018,3.7,detect
7130,Trichloroethene (TCE),2018,5.0,nondetect
7132,Trichloroethene (TCE),2018,5.0,nondetect
8106,Trichloroethene (TCE),2018,5.0,nondetect
8115,Trichloroethene (TCE),2018,5.0,nondetect
8125,Trichloroethene (TCE),2018,5.0,nondetect
9105,Trichloroethene (TCE),2018,5.0,nondetect
7115,Vinyl chloride,2018,5.0,nondetect
7125,Vinyl chloride,2018,5.0,nondetect
7130,Vinyl chloride,2018,5.0,nondetect
7132,Vinyl chloride,2018,5.0,nondetect
8106,Vinyl chloride,2018,5.0,nondetect
8115,Vinyl chloride,2018,5.0,nondetect
8125,Vinyl chloride,2018,5.0,nondetect
9105,Vinyl chloride,2018,5.0,nondetect
7115,Xylene,2018,5.0,nondetect
7125,Xylene,2018,5.0,nondetect
7130,Xylene,2018,5.0,nondetect
7132,Xylene,2018,5.0,nondetect
8106,Xylene,2018,5.0,nondetect
8115,Xylene,2018,5.0,nondetect
8125,Xylene,2018,5.0,nondetect
9105,Xylene,2018,5.0,nondetect
7115,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
7125,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
7130,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
7132,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
8106,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
8115,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
8125,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
9105,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
7115,"1,2-Dichlorobenzene",2018,9.4,nondetect
7125,"1,2-Dichlorobenzene",2018,9.4,nondetect
7130,"1,2-Dichlorobenzene",2018,9.4,nondetect
7132,"1,2-Dichlorobenzene",2018,9.4,nondetect
8106,"1,2-Dichlorobenzene",2018,9.4,nondetect
8115,"1,2-Dichlorobenzene",2018,9.4,nondetect
8125,"1,2-Dichlorobenzene",2018,9.4,nondetect
9105,"1,2-Dichlorobenzene",2018,9.4,nondetect
7115,"1,4-Dichlorobenzene",2018,9.4,nondetect
7125,"1,4-Dichlorobenzene",2018,9.4,nondetect
7130,"1,4-Dichlorobenzene",2018,9.4,nondetect
7132,"1,4-Dichlorobenzene",2018,9.4,nondetect
8106,"1,4-Dichlorobenzene",2018,9.4,nondetect
8115,"1,4-Dichlorobenzene",2018,9.4,nondetect
8125,"1,4-Dichlorobenzene",2018,9.4,nondetect
9105,"1,4-Dichlorobenzene",2018,9.4,nondetect
9113,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
9113,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
9118,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10135,"1,1,2,2-Tetrachloroethane",2018,500.0,nondetect
10178A,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
9113,Benzene,2018,5.0,nondetect
9113,Benzene,2018,5.0,nondetect
9118,Benzene,2018,5.0,nondetect
10135,Benzene,2018,6200.0,detect
10178A,Benzene,2018,5.0,nondetect
9113,Chlorobenzene,2018,5.0,nondetect
9113,Chlorobenzene,2018,5.0,nondetect
9118,Chlorobenzene,2018,5.0,nondetect
10135,Chlorobenzene,2018,2400.0,detect
10178A,Chlorobenzene,2018,5.0,nondetect
9113,Ethylbenzene,2018,5.0,nondetect
9113,Ethylbenzene,2018,5.0,nondetect
9118,Ethylbenzene,2018,5.0,nondetect
10135,Ethylbenzene,2018,500.0,nondetect
10178A,Ethylbenzene,2018,5.0,nondetect
9113,Tetrachloroethene (PCE),2018,5.0,nondetect
9113,Tetrachloroethene (PCE),2018,5.0,nondetect
9118,Tetrachloroethene (PCE),2018,5.0,nondetect
10135,Tetrachloroethene (PCE),2018,500.0,nondetect
10178A,Tetrachloroethene (PCE),2018,5.0,nondetect
9113,Toluene,2018,5.0,nondetect
9113,Toluene,2018,5.0,nondetect
9118,Toluene,2018,5.0,nondetect
10135,Toluene,2018,21000.0,detect
10178A,Toluene,2018,5.0,nondetect
9113,Trichloroethene (TCE),2018,5.0,nondetect
9113,Trichloroethene (TCE),2018,5.0,nondetect
9118,Trichloroethene (TCE),2018,5.0,nondetect
10135,Trichloroethene (TCE),2018,71.0,detect
10178A,Trichloroethene (TCE),2018,5.0,nondetect
9113,Vinyl chloride,2018,5.0,nondetect
9113,Vinyl chloride,2018,5.0,nondetect
9118,Vinyl chloride,2018,5.0,nondetect
10135,Vinyl chloride,2018,500.0,nondetect
10178A,Vinyl chloride,2018,5.0,nondetect
9113,Xylene,2018,5.0,nondetect
9113,Xylene,2018,5.0,nondetect
9118,Xylene,2018,5.0,nondetect
10135,Xylene,2018,35.0,detect
10178A,Xylene,2018,5.0,nondetect
9113,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
9113,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
9118,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
10135,"1,2,4-Trichlorobenzene",2018,470.0,nondetect
10178A,"1,2,4-Trichlorobenzene",2018,9.4,nondetect
9113,"1,2-Dichlorobenzene",2018,9.4,nondetect
9113,"1,2-Dichlorobenzene",2018,9.4,nondetect
9118,"1,2-Dichlorobenzene",2018,9.4,nondetect
10135,"1,2-Dichlorobenzene",2018,470.0,nondetect
10178A,"1,2-Dichlorobenzene",2018,9.4,nondetect
9113,"1,4-Dichlorobenzene",2018,9.4,nondetect
9113,"1,4-Dichlorobenzene",2018,9.4,nondetect
9118,"1,4-Dichlorobenzene",2018,9.4,nondetect
10135,"1,4-Dichlorobenzene",2018,470.0,nondetect
10178A,"1,4-Dichlorobenzene",2018,9.4,nondetect
3257,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
5221,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
6209,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
6209,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
7205,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
8210,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
9205,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
9210,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
10205,"1,1,2,2-Tetrachloroethane",2018,5.0,nondetect
3257,Benzene,2018,5.0,nondetect
5221,Benzene,2018,5.0,nondetect
6209,Benzene,2018,5.0,nondetect
6209,Benzene,2018,5.0,nondetect
7205,Benzene,2018,5.0,nondetect
8210,Benzene,2018,5.0,nondetect
9205,Benzene,2018,5.0,nondetect
9210,Benzene,2018,5.0,nondetect
10205,Benzene,2018,5.0,nondetect
3257,Chlorobenzene,2018,5.0,nondetect
5221,Chlorobenzene,2018,5.0,nondetect
6209,Chlorobenzene,2018,5.0,nondetect
6209,Chlorobenzene,2018,5.0,nondetect
7205,Chlorobenzene,2018,5.0,nondetect
8210,Chlorobenzene,2018,5.0,nondetect
9205,Chlorobenzene,2018,5.0,nondetect
9210,Chlorobenzene,2018,5.0,nondetect
10205,Chlorobenzene,2018,5.0,nondetect
3257,Ethylbenzene,2018,5.0,nondetect
5221,Ethylbenzene,2018,5.0,nondetect
6209,Ethylbenzene,2018,5.0,nondetect
6209,Ethylbenzene,2018,5.0,nondetect
7205,Ethylbenzene,2018,5.0,nondetect
8210,Ethylbenzene,2018,5.0,nondetect
9205,Ethylbenzene,2018,5.0,nondetect
9210,Ethylbenzene,2018,5.0,nondetect
10205,Ethylbenzene,2018,5.0,nondetect
3257,Tetrachloroethene (PCE),2018,5.0,nondetect
5221,Tetrachloroethene (PCE),2018,5.0,nondetect
6209,Tetrachloroethene (PCE),2018,5.0,nondetect
6209,Tetrachloroethene (PCE),2018,5.0,nondetect
7205,Tetrachloroethene (PCE),2018,5.0,nondetect
8210,Tetrachloroethene (PCE),2018,5.0,nondetect
9205,Tetrachloroethene (PCE),2018,5.0,nondetect
9210,Tetrachloroethene (PCE),2018,5.0,nondetect
10205,Tetrachloroethene (PCE),2018,5.0,nondetect
3257,Toluene,2018,5.0,nondetect
5221,Toluene,2018,5.0,nondetect
6209,Toluene,2018,5.0,nondetect
6209,Toluene,2018,1.1,detect
7205,Toluene,2018,5.0,nondetect
8210,Toluene,2018,0.25,detect
9205,Toluene,2018,5.0,nondetect
9210,Toluene,2018,5.0,nondetect
10205,Toluene,2018,5.0,nondetect
3257,Trichloroethene (TCE),2018,5.0,nondetect
5221,Trichloroethene (TCE),2018,5.0,nondetect
6209,Trichloroethene (TCE),2018,5.0,nondetect
6209,Trichloroethene (TCE),2018,5.0,nondetect
7205,Trichloroethene (TCE),2018,5.0,nondetect
8210,Trichloroethene (TCE),2018,5.0,nondetect
9205,Trichloroethene (TCE),2018,5.0,nondetect
9210,Trichloroethene (TCE),2018,5.0,nondetect
10205,Trichloroethene (TCE),2018,5.0,nondetect
3257,Vinyl chloride,2018,5.0,nondetect
5221,Vinyl chloride,2018,5.0,nondetect
6209,Vinyl chloride,2018,5.0,nondetect
