well,chem,year,value_ugL,detect
10105,Benzene,2011,5.0,nondetect
10105,Chlorobenzene,2011,5.0,nondetect
10105,Ethylbenzene,2011,5.0,nondetect
10105,Tetrachloroethene (PCE),2011,5.0,nondetect
10105,Toluene,2011,5.0,nondetect
10105,Trichloroethene (TCE),2011,5.0,nondetect
10105,Vinyl chloride,2011,5.0,nondetect
10105,Xylene,2011,15.0,nondetect
10135,Benzene,2010,3400.0,detect
10135,Benzene,2011,2200.0,detect
10135,Benzene,2012,5900.0,detect
10135,Benzene,2014,6100.0,detect
10135,Chlorobenzene,2010,1300.0,detect
10135,Chlorobenzene,2011,1100.0,detect
10135,Chlorobenzene,2012,2500.0,detect
10135,Chlorobenzene,2014,2300.0,detect
10135,Ethylbenzene,2010,13.0,detect
10135,Ethylbenzene,2011,50.0,nondetect
10135,Ethylbenzene,2012,500.0,nondetect
10135,Ethylbenzene,2014,630.0,nondetect
10135,Tetrachloroethene (PCE),2010,19.0,detect
10135,Tetrachloroethene (PCE),2011,9.5,detect
10135,Tetrachloroethene (PCE),2012,500.0,nondetect
10135,Tetrachloroethene (PCE),2014,630.0,nondetect
10135,Toluene,2010,11000.0,detect
10135,Toluene,2011,3100.0,detect
10135,Toluene,2012,14000.0,detect
10135,Toluene,2014,20000.0,detect
10135,Trichloroethene (TCE),2010,140.0,detect
10135,Trichloroethene (TCE),2011,52.0,detect
10135,Trichloroethene (TCE),2012,500.0,nondetect
10135,Trichloroethene (TCE),2014,630.0,nondetect
10135,Vinyl chloride,2010,31.0,detect
10135,Vinyl chloride,2011,50.0,nondetect
10135,Vinyl chloride,2012,500.0,nondetect
10135,Vinyl chloride,2014,630.0,nondetect
10135,Xylene,2010,51.0,detect
10135,Xylene,2011,150.0,nondetect
10135,Xylene,2012,1500.0,nondetect
10135,Xylene,2014,1300.0,nondetect
10147,Benzene,2011,5.0,nondetect
10147,Chlorobenzene,2011,5.0,nondetect
10147,Ethylbenzene,2011,5.0,nondetect
10147,Tetrachloroethene (PCE),2011,5.0,nondetect
10147,Toluene,2011,5.0,nondetect
10147,Trichloroethene (TCE),2011,5.0,nondetect
10147,Vinyl chloride,2011,5.0,nondetect
10147,Xylene,2011,15.0,nondetect
10174A,Benzene,2011,5.0,nondetect
10174A,Chlorobenzene,2011,5.0,nondetect
10174A,Ethylbenzene,2011,5.0,nondetect
10174A,Tetrachloroethene (PCE),2011,5.0,nondetect
10174A,Toluene,2011,5.0,nondetect
10174A,Trichloroethene (TCE),2011,5.0,nondetect
10174A,Vinyl chloride,2011,5.0,nondetect
10174A,Xylene,2011,15.0,nondetect
10178A,Benzene,2014,5.0,nondetect
10178A,Chlorobenzene,2014,5.0,nondetect
10178A,Ethylbenzene,2014,5.0,nondetect
10178A,Tetrachloroethene (PCE),2014,5.0,nondetect
10178A,Toluene,2014,5.0,nondetect
10178A,Trichloroethene (TCE),2014,5.0,nondetect
10178A,Vinyl chloride,2014,5.0,nondetect
10178A,Xylene,2014,10.0,nondetect
10205,Benzene,2010,5.0,nondetect
10205,Benzene,2011,5.0,nondetect
10205,Benzene,2012,5.0,nondetect
10205,Chlorobenzene,2010,5.0,nondetect
10205,Chlorobenzene,2011,5.0,nondetect
10205,Chlorobenzene,2012,5.0,nondetect
10205,Ethylbenzene,2010,5.0,nondetect
