series,medium,date,side,well,level,tile_ft,src
1180,Fractured Clay,2015-03-02,in,1180B,561.0,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-03-02,out,1184B,564.39,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-03-02,out,1183B,564.44,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-03-02,out,1181B,566.17,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-06-01,in,1180B,560.89,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-06-01,out,1184B,564.46,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-06-01,out,1183B,565.12,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-06-01,out,1181B,566.27,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-09-02,in,1180B,561.04,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-09-02,out,1184B,563.76,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-09-02,out,1183B,564.82,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-09-02,out,1181B,566.22,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-12-01,in,1180B,561.02,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-12-01,out,1184B,563.56,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-12-01,out,1183B,564.67,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Fractured Clay,2015-12-01,out,1181B,566.44,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Glacial Till,2015-03-02,out,1184D,567.77,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Glacial Till,2015-03-02,out,1183D,566.69,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Glacial Till,2015-06-01,out,1184D,567.92,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Glacial Till,2015-06-01,out,1183D,566.83,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Glacial Till,2015-09-02,out,1184D,567.27,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Glacial Till,2015-09-02,out,1183D,566.67,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Glacial Till,2015-12-01,out,1184D,567.28,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Glacial Till,2015-12-01,out,1183D,566.84,560.0,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1180,Glacial Till,2016-03-02,in,1180A,563.04,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-03-02,out,1184A,564.49,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-03-02,out,1183A,564.27,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-03-02,out,1181A,569.18,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-06-08,in,1180A,563.12,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-06-08,out,1184A,564.15,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-06-08,out,1183A,564.13,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-06-08,out,1181A,567.31,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-09-06,in,1180A,562.75,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-09-06,out,1184A,563.33,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-09-06,out,1183A,563.53,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-09-06,out,1181A,566.26,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-12-05,in,1180A,562.55,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-12-05,out,1184A,563.11,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-12-05,out,1183A,563.02,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2016-12-05,out,1181A,567.72,560.0,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1180,Glacial Till,2017-03-02,in,1180A,562.65,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-03-02,out,1184A,564.02,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-03-02,out,1183A,563.55,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-03-02,out,1181A,568.78,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-06-09,in,1180A,563.24,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-06-09,out,1184A,564.31,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-06-09,out,1183A,564.54,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-06-09,out,1181A,567.75,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-09-07,in,1180A,563.22,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-09-07,out,1184A,564.43,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-09-07,out,1183A,564.61,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-09-07,out,1181A,567.57,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-12-07,in,1180A,563.31,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-12-07,out,1184A,564.5,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-12-07,out,1183A,564.75,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2017-12-07,out,1181A,568.36,560.0,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1180,Glacial Till,2019-03-05,in,1180A,563.26,560.0,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1180,Glacial Till,2019-03-05,out,1184A,564.69,560.0,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1180,Glacial Till,2019-03-05,out,1183A,564.62,560.0,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1180,Glacial Till,2019-03-05,out,1181A,568.24,560.0,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1180,Glacial Till,2019-06-04,in,1180A,563.48,560.0,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1180,Glacial Till,2019-06-04,out,1184A,565.04,560.0,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1180,Glacial Till,2019-06-04,out,1183A,564.52,560.0,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1180,Glacial Till,2019-06-04,out,1181A,568.29,560.0,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1180,Glacial Till,2019-09-03,in,1180A,563.27,560.0,LoveCanal_932020_2019_Periodic_Review_Report.pdf
