string,medium,depth,n,mean_gradient,min_gradient,n_reversals,precip_corr
1140,Fractured Clay,intermediate,4,4.38,3.67,0,
1140,Glacial Till,deep (confined),16,3.22,2.34,0,0.64
1140,Silty Sand/Fill,shallow (water table / fill),4,5.1,4.33,0,
1140,Soft Clay,intermediate,16,4.87,3.38,0,0.97
1160,Fractured Clay,intermediate,16,4.42,3.49,0,0.57
1160,Silty Sand/Fill,shallow (water table / fill),4,3.85,3.5,0,
1160,Soft Clay,intermediate,2,3.55,3.41,0,
1170,Fractured Clay,intermediate,4,0.89,-4.1,2,
1170,Glacial Till,deep (confined),16,4.81,4.39,0,-1.0
1170,Silty Sand/Fill,shallow (water table / fill),4,4.92,4.68,0,
1180,Fractured Clay,intermediate,4,4.04,3.87,0,
1180,Glacial Till,deep (confined),15,2.28,1.53,0,0.99
1180,Silty Sand/Fill,shallow (water table / fill),4,2.15,2.06,0,
1180,Soft Clay,intermediate,16,4.38,3.2,0,0.87
1190,Fractured Clay,intermediate,4,4.55,3.23,0,
1190,Glacial Till,deep (confined),16,-0.44,-3.39,8,-0.93
1190,Silty Sand/Fill,shallow (water table / fill),4,-0.39,-0.99,3,
