string,medium,depth,date,mean_out_ft,mean_in_ft,inward_gradient_ft,n_out,n_in,wells_out,wells_in
1140,Glacial Till,deep,2015-03-02,567.34,564.22,3.12,4,1,1141B;1142C;1144D;1143D,1140B
1140,Glacial Till,deep,2015-06-01,567.85,564.13,3.72,4,1,1141B;1142C;1144D;1143D,1140B
1140,Glacial Till,deep,2015-09-02,567.82,564.51,3.31,4,1,1141B;1142C;1144D;1143D,1140B
1140,Glacial Till,deep,2015-12-01,567.3,564.56,2.74,4,1,1141B;1142C;1144D;1143D,1140B
1140,Glacial Till,deep,2016-03-02,567.22,564.36,2.86,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2016-06-08,568.04,564.25,3.79,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2016-09-06,567.4,564.35,3.05,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2016-12-05,566.7,564.36,2.34,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2017-03-02,566.52,564.0,2.52,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2017-06-09,568.12,564.56,3.57,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2017-09-07,568.16,564.71,3.45,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2017-12-07,568.1,564.89,3.21,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2019-03-05,568.02,564.54,3.48,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2019-06-04,568.32,564.5,3.82,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2019-09-03,568.1,564.7,3.4,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2019-11-19,567.86,564.96,2.9,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2022-03-03,568.37,564.67,3.7,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2022-06-01,568.32,564.63,3.69,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2022-09-15,567.65,564.65,3.0,4,1,1144D;1143D;1142C;1141B,1140B
1140,Glacial Till,deep,2022-12-02,567.39,564.67,2.73,4,1,1144D;1143D;1142C;1141B,1140B
1140,Soft Clay,intermediate,2015-03-02,568.46,563.85,4.61,5,1,1141A;1143B;1142B;1144C;1143C,1140A
1140,Soft Clay,intermediate,2015-06-01,569.29,563.71,5.58,5,1,1141A;1143B;1142B;1144C;1143C,1140A
1140,Soft Clay,intermediate,2015-09-02,568.71,564.15,4.56,5,1,1141A;1143B;1142B;1144C;1143C,1140A
1140,Soft Clay,intermediate,2015-12-01,568.12,564.19,3.93,5,1,1141A;1143B;1142B;1144C;1143C,1140A
1140,Soft Clay,intermediate,2016-03-02,568.96,563.94,5.02,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2016-06-08,569.31,563.79,5.52,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2016-09-06,568.19,564.04,4.15,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2016-12-05,567.46,564.08,3.38,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2017-03-02,568.05,563.58,4.47,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2017-06-09,569.86,564.09,5.77,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2017-09-07,569.23,564.34,4.89,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2017-12-07,569.49,564.45,5.04,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2019-03-05,569.29,564.08,5.21,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2019-06-04,569.77,563.95,5.82,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2019-09-03,568.93,564.32,4.61,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2019-11-19,568.97,564.54,4.43,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2022-03-03,569.75,564.16,5.59,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2022-06-01,569.56,563.94,5.62,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2022-09-15,568.43,564.27,4.16,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1140,Soft Clay,intermediate,2022-12-02,568.52,564.27,4.25,5,1,1144C;1143B;1143C;1142B;1141A,1140A
1160,Fractured Clay,intermediate,2015-03-02,569.59,565.05,4.54,6,1,1162A;1165B;1163B;1163C;1162C;1161D,1160A
1160,Fractured Clay,intermediate,2015-06-01,570.41,564.7,5.71,6,1,1162A;1165B;1163B;1163C;1162C;1161D,1160A
1160,Fractured Clay,intermediate,2015-09-02,570.1,565.72,4.37,6,2,1162A;1165B;1163B;1163C;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2015-12-01,569.7,565.9,3.8,6,2,1162A;1165B;1163B;1163C;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2016-03-02,569.9,565.29,4.61,6,1,1165B;1163B;1163C;1162A;1162C;1161D,1160A
1160,Fractured Clay,intermediate,2016-06-08,570.36,564.76,5.6,6,1,1165B;1163B;1163C;1162A;1162C;1161D,1160A
1160,Fractured Clay,intermediate,2016-09-06,569.99,566.05,3.95,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2016-12-05,569.49,566.0,3.49,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2017-03-02,569.8,564.9,4.9,6,1,1165B;1163B;1163C;1162A;1162C;1161D,1160A
1160,Fractured Clay,intermediate,2017-06-09,571.0,566.0,5.01,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2017-09-07,570.32,566.06,4.27,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2017-12-07,569.98,566.4,3.57,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2019-03-05,570.16,565.88,4.28,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2019-06-04,570.92,565.59,5.33,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2019-09-03,570.14,565.84,4.3,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2019-11-19,570.0,566.29,3.71,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2022-03-03,569.99,565.39,4.6,6,1,1165B;1163B;1163C;1162A;1162C;1161D,1160A
1160,Fractured Clay,intermediate,2022-06-01,570.69,565.92,4.76,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2022-09-15,570.15,565.85,4.3,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1160,Fractured Clay,intermediate,2022-12-02,569.84,565.88,3.97,6,2,1165B;1163B;1163C;1162A;1162C;1161D,1160A;1160C
1170,Glacial Till,deep,2015-03-02,567.18,562.5,4.68,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2015-06-01,567.24,562.18,5.06,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2015-09-02,567.07,562.02,5.05,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2015-12-01,567.14,562.26,4.88,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2016-03-02,567.13,562.43,4.71,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2016-06-08,567.05,562.19,4.86,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2016-09-06,566.89,561.82,5.07,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2016-12-05,567.01,562.14,4.87,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2017-03-02,566.95,562.28,4.67,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2017-06-09,566.99,562.39,4.6,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2017-09-07,567.3,562.41,4.89,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2017-12-07,567.54,562.63,4.91,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2019-03-05,567.45,563.06,4.39,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2019-06-04,567.44,562.52,4.92,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2019-09-03,567.29,562.28,5.01,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2019-11-19,567.43,562.58,4.85,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2022-03-03,567.37,562.73,4.64,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2022-06-01,567.27,562.5,4.77,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2022-09-15,567.14,562.22,4.92,4,1,1174A;1173A;1172A;1171A,1170A
1170,Glacial Till,deep,2022-12-02,567.41,562.52,4.89,4,1,1174A;1173A;1172A;1171A,1170A
1170,Soft Clay,intermediate,2015-03-02,567.86,563.15,4.71,8,1,1174B;1173B;1172B;1171B;1174C;1173C;1172C;1171C,1170B
