year,well,VOC,SVOC,Pesticide,total
1999,10113,0,0,0,0
1999,10135,13,13,10,36
1999,10147,0,2,0,2
1999,10174A,0,0,0,0
1999,10205,2,0,0,2
1999,10210A,3,1,4,8
1999,10210B,2,0,0,2
1999,10210C,1,0,0,1
1999,10215,0,0,0,0
1999,10225A,5,1,0,6
1999,10225B,2,0,0,2
1999,10225C,2,1,0,3
1999,10270,0,0,0,0
1999,10272,2,1,0,3
1999,10278,3,2,0,5
1999,3151,1,0,0,1
1999,3257,1,2,0,3
1999,5222,2,0,0,2
1999,6209,1,0,3,4
1999,7120,0,0,0,0
1999,7132,0,2,0,2
1999,7155,0,1,0,1
1999,7161,0,0,0,0
1999,7205,0,1,0,1
1999,8106,0,2,0,2
1999,8110,0,1,0,1
1999,8120,0,1,0,1
1999,8130,1,1,0,2
1999,8140,0,0,0,0
1999,8210,1,0,0,1
1999,9110,0,0,0,0
1999,9115,1,1,0,2
1999,9120,0,1,0,1
1999,9125,0,0,0,0
1999,9140,0,0,0,0
1999,9205,0,0,0,0
1999,9210,2,1,0,3
2000,10135,16,12,9,37
2000,10178,0,0,0,0
2000,10205,0,0,4,4
2000,10210A,0,0,0,0
2000,10210B,1,0,0,1
2000,10210C,2,0,0,2
2000,10215,3,0,0,3
2000,10225A,1,0,0,1
2000,10225B,1,0,3,4
2000,10225C,1,1,0,2
2000,10272,0,1,0,1
2000,10278,1,2,0,3
2000,3257,0,1,0,1
2000,5222,1,1,0,2
2000,6209,1,0,0,1
2000,7115,0,0,0,0
2000,7125,0,2,0,2
2000,7130,0,0,0,0
2000,7132,0,0,0,0
2000,7205,0,0,0,0
2000,8106,0,1,0,1
2000,8115,0,0,0,0
2000,8125,0,1,0,1
2000,8210,1,0,0,1
2000,9105,0,2,0,2
2000,9113,0,1,0,1
2000,9118,0,1,0,1
2000,9205,2,1,1,4
2000,9210,2,1,0,3
2001,10113,1,0,0,1
2001,10135,13,11,6,30
2001,10205,2,1,0,3
2001,10210A,2,0,0,2
2001,10210B,2,1,0,3
2001,10215,0,1,0,1
2001,10225A,2,0,0,2
2001,10225B,1,0,0,1
2001,10225C,2,1,0,3
2001,10270,0,1,0,1
2001,10272,0,2,0,2
2001,10278,0,1,0,1
2001,5222,1,0,0,1
2001,6209,1,0,0,1
2001,7120,0,2,0,2
2001,7132,0,1,0,1
2001,7205,0,1,0,1
2001,8106,0,1,0,1
2001,8110,0,1,0,1
2001,8120,0,2,0,2
2001,8130,0,1,0,1
2001,8140,1,0,0,1
2001,8210,0,1,0,1
2001,9110,0,1,0,1
2001,9115,0,1,0,1
2001,9118,0,1,0,1
2001,9125,0,1,0,1
2001,9205,0,1,0,1
2001,9210,1,1,0,2
