year,month,gross_gal,net_gal,days,op_gpm
2000,January,495800.0,280364.0,21.0,9.3
2000,February,480400.0,368492.0,21.0,12.2
2000,March,505500.0,290501.0,23.0,8.8
2000,April,675600.0,547926.0,20.0,19.0
2000,May,473300.0,335331.0,20.0,11.6
2000,June,632200.0,486721.0,20.0,16.9
2000,July,333900.0,184955.0,20.0,6.4
2000,August,437100.0,286925.0,23.0,8.7
2000,September,209600.0,82263.0,20.0,2.9
2000,October,264300.0,134248.0,20.0,4.7
2000,November,250900.0,132728.0,17.0,5.4
2000,December,440100.0,295967.0,20.0,10.3
2001,January,396900.0,282480.0,20.0,9.8
2001,February,560000.0,468863.0,19.0,17.1
2001,March,616400.0,493476.0,21.0,16.3
2001,April,352300.0,262946.0,20.0,9.1
2001,May,311200.0,207580.0,17.0,8.5
2001,June,202200.0,132132.0,16.0,5.7
2001,July,182200.0,111941.0,16.0,4.9
2001,August,267200.0,194821.0,18.0,7.5
2001,September,144900.0,81619.0,16.0,3.5
2001,October,438500.0,348153.0,18.0,13.4
2001,November,250400.0,194481.0,16.0,8.4
2001,December,356458.0,271196.0,18.0,10.5
2002,January,488900.0,422682.0,21.0,14.0
2002,February,663700.0,608116.0,20.0,21.1
2002,March,364900.0,316696.0,21.0,10.5
2002,April,689700.0,629683.0,20.0,21.9
2002,May,589500.0,532251.0,20.0,18.5
2002,June,395100.0,347485.0,14.0,17.2
2002,July,194500.0,145344.0,16.0,6.3
2002,August,151300.0,107928.0,17.0,4.4
2002,September,148600.0,94401.0,12.0,5.5
2002,October,154600.0,108226.0,13.0,5.8
2002,November,360800.0,306258.0,14.0,15.2
2002,December,395933.0,342969.0,17.0,14.0
2003,January,419400.0,374123.0,14.0,18.6
2003,February,266300.0,231049.0,13.0,12.3
2003,March,721500.0,667337.0,17.0,27.3
2003,April,432800.0,380745.0,16.0,16.5
2003,May,425400.0,379299.0,14.0,18.8
2003,June,367900.0,303576.0,13.0,16.2
2003,July,187700.0,142849.0,11.0,9.0
2003,August,158600.0,114497.0,8.0,9.9
2003,September,105800.0,60350.0,7.0,6.0
2003,October,211000.0,211000.0,9.0,16.3
2003,November,356800.0,310650.0,12.0,18.0
2003,December,362125.0,318268.0,12.0,18.4
2004,January,309200.0,260171.0,10.0,18.1
2004,February,330000.0,291082.0,9.0,22.5
2004,March,1038400.0,986332.0,21.0,32.6
2004,April,800400.0,767982.0,17.0,31.4
2004,May,326500.0,294612.0,10.0,20.5
2004,June,253200.0,208659.0,9.0,16.1
2004,July,137700.0,111217.0,7.0,11.0
2004,August,301900.0,269934.0,10.0,18.7
2004,September,484800.0,435482.0,12.0,25.2
2004,October,135700.0,94476.0,4.0,16.4
2004,November,211400.0,186999.0,5.0,26.0
2004,December,416967.0,377446.0,11.0,23.8
2005,January,841400.0,796518.0,17.0,32.5
2005,February,440200.0,401137.0,11.0,25.3
2005,March,698900.0,667105.0,13.0,35.6
2005,April,805300.0,769514.0,14.0,38.2
2005,May,183400.0,156846.0,5.0,21.8
2005,June,160800.0,118979.0,6.0,13.8
2005,July,92600.0,78234.0,3.0,18.1
2005,August,98800.0,55055.0,5.0,7.6
2005,September,317900.0,284315.0,8.0,24.7
2005,October,486300.0,445560.0,10.0,30.9
2005,November,524600.0,494443.0,14.0,24.5
2005,December,429350.0,395323.0,10.0,27.5
2006,January,855900.0,817305.0,16.0,35.5
2006,February,437300.0,405124.0,9.0,31.3
2006,March,436800.0,402047.0,13.0,21.5
2006,April,184800.0,155028.0,6.0,17.9
2006,May,121800.0,93394.0,4.0,16.2
2006,June,130700.0,104449.0,5.0,14.5
2006,July,195500.0,183084.0,5.0,25.4
2006,August,322440.0,293900.0,10.0,20.4
2006,September,249160.0,213343.0,7.0,21.2
2006,October,919200.0,892734.0,18.0,34.4
2006,November,691800.0,658765.0,14.0,32.7
2006,December,421317.0,392673.0,10.0,27.3
2007,January,993400.0,970918.0,20.0,33.7
2007,February,216600.0,174776.0,7.0,17.3
2007,March,582500.0,560237.0,16.0,24.3
2007,April,447200.0,420133.0,14.0,20.8
2007,May,323200.0,297471.0,12.0,17.2
2007,June,173300.0,148638.0,4.0,25.8
2007,July,129100.0,99026.0,6.0,11.5
2007,August,120800.0,106040.0,5.0,14.7
2007,September,68400.0,49041.0,4.0,8.5
2007,October,173000.0,141650.0,8.0,12.3
2007,November,90100.0,77506.0,3.0,17.9
2007,December,305275.0,280269.0,9.0,21.6
2008,January,674000.0,649777.0,18.0,25.1
2008,February,570000.0,539772.0,16.0,23.4
2008,March,570500.0,550518.0,12.0,31.9
2008,April,602000.0,574359.0,12.0,33.2
2008,May,172900.0,147715.0,11.0,9.3
2008,June,128700.0,107411.0,6.0,12.4
2008,July,164760.0,141442.0,6.0,16.4
2008,August,197340.0,191068.0,6.0,22.1
2008,September,152200.0,122101.0,9.0,9.4
2008,October,296100.0,274068.0,13.0,14.6
2008,November,449700.0,414149.0,14.0,20.5
2008,December,394642.0,370497.0,12.0,21.4
2009,January,523500.0,495713.0,16.0,21.5
2009,February,506700.0,485869.0,13.0,26.0
2009,March,606900.0,582109.0,18.0,22.5
2009,April,414900.0,377080.0,16.0,16.4
2009,May,306200.0,267700.0,14.0,13.3
2009,June,110000.0,79200.0,7.0,7.9
2009,July,187900.0,153170.0,7.0,15.2
2009,August,369400.0,347425.0,18.0,13.4
2009,September,101500.0,76057.0,7.0,7.5
2009,October,199200.0,129035.0,8.0,11.2
2009,November,210100.0,152302.0,12.0,8.8
2009,December,336875.0,301103.0,13.0,16.1
2010,January,534400.0,471805.0,17.0,19.3
2010,February,314300.0,276643.0,10.0,19.2
2010,March,550100.0,526021.0,17.0,21.5
2010,April,498200.0,466778.0,15.0,21.6
2010,May,379400.0,348837.0,18.0,13.5
2010,June,205200.0,174305.0,13.0,9.3
2010,July,85600.0,55670.0,4.0,9.7
2010,August,184300.0,162562.0,8.0,14.1
2010,September,88100.0,56678.0,2.0,19.7
2010,October,120200.0,88537.0,5.0,12.3
2010,November,263400.0,233159.0,15.0,10.8
2010,December,311175.0,278685.0,12.0,16.1
2011,January,346900.0,322994.0,18.0,12.5
2011,February,375800.0,349712.0,19.0,12.8
2011,March,1003700.0,978000.0,21.0,32.3
2011,April,676400.0,652656.0,11.0,41.2
2011,May,942700.0,917206.0,17.0,37.5
2011,June,473100.0,449046.0,16.0,19.5
2011,July,79700.0,53632.0,5.0,7.4
2011,August,193900.0,166652.0,13.0,8.9
2011,September,47800.0,21679.0,6.0,2.5
2011,October,417500.0,389696.0,14.0,19.3
2011,November,350100.0,322735.0,12.0,18.7
2011,December,488300.0,462517.0,14.0,22.9
2012,January,571900.0,546816.0,15.0,25.3
2012,February,656700.0,634167.0,16.0,27.5
2012,March,384500.0,363378.0,16.0,15.8
2012,April,334400.0,316188.0,18.0,12.2
2012,May,363100.0,341424.0,16.0,14.8
2012,June,142000.0,118568.0,12.0,6.9
2012,July,98400.0,72435.0,9.0,5.6
2012,August,73960.0,49422.0,8.0,4.3
2012,September,161100.0,136728.0,17.0,5.6
2012,October,318400.0,291391.0,19.0,10.7
2012,November,526900.0,504290.0,20.0,17.5
2012,December,345755.0,322322.0,15.0,14.9
2013,January,600400.0,575767.0,18.0,22.2
2013,February,495900.0,478434.0,19.0,17.5
2013,March,488000.0,467083.0,20.0,16.2
2013,April,533800.0,516478.0,22.0,16.3
2013,May,148500.0,129687.0,18.0,5.0
2013,June,497300.0,478285.0,18.0,18.5
2013,July,280000.0,260823.0,19.0,9.5
2013,August,193144.0,168418.0,21.0,5.6
2013,September,131289.0,110397.0,23.0,3.3
2013,October,503036.0,480233.0,20.0,16.7
2013,November,538978.0,520087.0,19.0,19.0
2013,December,423980.0,403882.0,20.0,14.0
2014,January,519614.0,499889.0,20.0,17.4
2014,February,291292.0,277226.0,15.0,12.8
2014,March,388937.0,375154.0,17.0,15.3
2014,April,786808.0,768257.0,20.0,26.7
2014,May,444598.0,428177.0,21.0,14.2
2014,June,168921.0,152639.0,12.0,8.8
2014,July,151772.0,123921.0,15.0,5.7
2014,August,98166.0,83010.0,9.0,6.4
2014,September,139016.0,111392.0,13.0,6.0
2014,October,121075.0,94680.0,18.0,3.7
2014,November,107729.0,85439.0,12.0,4.9
2014,December,307418.0,287990.0,16.0,12.5
2015,January,363043.0,346565.0,14.0,17.2
2015,February,68244.0,55548.0,16.0,2.4
2015,March,658775.0,642149.0,20.0,22.3
2015,April,575949.0,561287.0,17.0,22.9
2015,May,113599.0,99179.0,12.0,5.7
2015,June,262025.0,245083.0,19.0,9.0
2015,July,138495.0,122874.0,16.0,5.3
2015,August,108376.0,91308.0,7.0,9.1
2015,September,151905.0,134935.0,12.0,7.8
2015,October,146842.0,123794.0,11.0,7.8
2015,November,146722.0,127799.0,15.0,5.9
2015,December,240779.0,224121.0,14.0,11.1
2016,January,385636.0,370676.0,18.0,14.3
2016,February,634159.0,619942.0,19.0,22.7
2016,March,544972.0,529757.0,21.0,17.5
2016,April,531147.0,517498.0,19.0,18.9
2016,May,175158.0,163324.0,15.0,7.6
2016,June,98255.0,83122.0,11.0,5.2
2016,July,77140.0,62847.0,12.0,3.6
2016,August,65714.0,50772.0,6.0,5.9
2016,September,96279.0,79011.0,11.0,5.0
2016,October,124508.0,104726.0,11.0,6.6
2016,November,101686.0,85421.0,11.0,5.4
2016,December,264175.0,248761.0,14.0,12.3
2017,January,563854.0,548797.0,19.0,20.1
2017,February,371608.0,357557.0,13.0,19.1
2017,March,641911.0,629687.0,20.0,21.9
2017,April,1053394.0,1041670.0,24.0,30.1
