well,dist_m,chem,year,value_ugL
8110,262,Benzene,2019,0.33
8110,262,Toluene,2019,0.86
8110,262,Xylene,2019,1.1
3257,271,DDT / DDE / DDD,2015,0.017
3257,271,Lindane / BHC,2015,0.035
7155,296,Toluene,2017,0.24
MW-01,330,DDT / DDE / DDD,2015,0.034
MW-01,330,Lindane / BHC,2015,0.042
MW-02,343,DDT / DDE / DDD,2015,0.023
MW-02,343,Lindane / BHC,2015,0.025
MW-02,343,Toluene,2019,0.2
8210,397,DDT / DDE / DDD,2015,0.025
8210,397,Lindane / BHC,2016,0.1
8210,397,Lindane / BHC,2019,0.05
8210,397,Toluene,2017,0.25
7205,478,Lindane / BHC,2015,0.3
7205,478,Lindane / BHC,2016,0.18
7205,478,Lindane / BHC,2019,0.035
